,TotSav,SYBSav,PASav,OOBSav
137,-,-,-,-
138,-,-,-,-
139,-,-,-,-
140,-,-,-,-
141,-,-,-,-
142,-,-,-,-
143,-,-,-,-
144,-,-,-,-
145,-,-,-,-
146,-,-,-,-
147,-,-,-,-
148,2.2,-,1,1.2
149,-,-,-,-
150,2.5,0.1,1.6,0.8
151,1.8,0.2,1.1,0.5
152,-,-,-,-
153,-,-,-,-
154,-,-,-,-
155,-,-,-,-
156,1,-,-,1
157,-,-,-,-
158,-,-,-,-
159,-,-,-,-
160,-,-,-,-
161,-,-,-,-
162,-,-,-,-
163,-,-,-,-
164,-,-,-,-
165,2.4,0.1,1.5,0.8
166,2.5,0.2,1.1,1.2
167,-,-,-,-
168,-,-,-,-
169,2.9,0.4,1.3,1.3
170,3.1,0.2,1.7,1.2
171,-,-,-,-
172,-,-,-,-
173,-,-,-,-
174,-,-,-,-
175,-,-,-,-
176,-,-,-,-
177,-,-,-,-
178,-,-,-,-
179,-,-,-,-
180,2.2,0.1,1.3,0.7
181,-,-,-,-
182,-,-,-,-
183,-,-,-,-
184,-,-,-,-
185,-,-,-,-
186,-,-,-,-
187,-,-,-,-
188,-,-,-,-
189,-,-,-,-
190,-,-,-,-
191,-,-,-,-
192,-,-,-,-
193,-,-,-,-
194,-,-,-,-
195,-,-,-,-
196,-,-,-,-
197,-,-,-,-
198,-,-,-,-
199,3.3,0.1,2.2,1
200,-,-,-,-
201,-,-,-,-
202,-,-,-,-
203,2.5,0.1,1.5,0.8
204,-,-,-,-
205,-,-,-,-
206,-,-,-,-
207,-,-,-,-
208,-,-,-,-
209,2.7,-,2.3,0.4
210,-,-,-,-
211,-,-,-,-
212,-,-,-,-
213,-,-,-,-
214,-,-,-,-
215,-,-,-,-
216,-,-,-,-
217,-,-,-,-
218,-,-,-,-
219,-,-,-,-
220,-,-,-,-
221,-,-,-,-
222,-,-,-,-
223,-,-,-,-
224,2.5,0.3,1.4,0.7
225,-,-,-,-
226,-,-,-,-
227,-,-,-,-
228,-,-,-,-
229,2.3,0.1,1.5,0.7
230,-,-,-,-
231,-,-,-,-
232,-,-,-,-
233,-,-,-,-
234,-,-,-,-
235,-,-,-,-
236,-,-,-,-
237,-,-,-,-
238,2.3,-,1.5,0.8
239,-,-,-,-
240,-,-,-,-
241,2.8,-,2,0.8
242,-,-,-,-
243,-,-,-,-
244,-,-,-,-
245,1.7,-,1.3,0.3
246,-,-,-,-
247,-,-,-,-
248,2.8,0.3,1.5,0.9
249,-,-,-,-
250,-,-,-,-
251,-,-,-,-
252,-,-,-,-
253,-,-,-,-
254,-,-,-,-
255,-,-,-,-
256,-,-,-,-
257,2.2,0.1,1.3,0.8
258,-,-,-,-
259,-,-,-,-
260,-,-,-,-
261,-,-,-,-
262,-,-,-,-
263,-,-,-,-
264,-,-,-,-
265,-,-,-,-
266,-,-,-,-
267,-,-,-,-
268,-,-,-,-
269,-,-,-,-
270,-,-,-,-
271,-,-,-,-
272,-,-,-,-
273,-,-,-,-
274,-,-,-,-
275,-,-,-,-
276,-,-,-,-
277,2.5,0.2,1.6,0.8
278,-,-,-,-
279,-,-,-,-
280,2.7,0.2,1.3,1.2
281,-,-,-,-
282,1.5,-,1,0.5
283,-,-,-,-
284,-,-,-,-
285,-,-,-,-
286,2.6,-,1.8,0.8
287,-,-,-,-
288,-,-,-,-
289,-,-,-,-
290,-,-,-,-
291,-,-,-,-
292,-,-,-,-
293,-,-,-,-
294,-,-,-,-
295,-,-,-,-
296,-,-,-,-
297,-,-,-,-
298,2.5,0.1,1.6,0.8
299,-,-,-,-
300,-,-,-,-
301,-,-,-,-
302,-,-,-,-
303,-,-,-,-
304,-,-,-,-
305,-,-,-,-
306,-,-,-,-
307,-,-,-,-
308,-,-,-,-
309,-,-,-,-
310,-,-,-,-
311,-,-,-,-
312,-,-,-,-
313,3.1,0.2,1.8,1.1
314,-,-,-,-
315,-,-,-,-
316,-,-,-,-
317,-,-,-,-
318,-,-,-,-
319,-,-,-,-
320,2.3,-,1.4,0.9
321,-,-,-,-
322,-,-,-,-
323,-,-,-,-
324,-,-,-,-
325,-,-,-,-
326,-,-,-,-
327,-,-,-,-
328,-,-,-,-
329,-,-,-,-
330,-,-,-,-
331,-,-,-,-
332,-,-,-,-
333,-,-,-,-
334,-,-,-,-
335,-,-,-,-
336,-,-,-,-
337,-,-,-,-
338,-,-,-,-
339,-,-,-,-
340,-,-,-,-
341,-,-,-,-
342,-,-,-,-
343,-,-,-,-
344,-,-,-,-
345,-,-,-,-
346,-,-,-,-
347,-,-,-,-
348,-,-,-,-
349,-,-,-,-
350,-,-,-,-
351,-,-,-,-
352,-,-,-,-
353,-,-,-,-
354,-,-,-,-
355,-,-,-,-
356,-,-,-,-
357,-,-,-,-
358,-,-,-,-
359,1.8,-,1.1,0.8
360,-,-,-,-
361,-,-,-,-
362,-,-,-,-
363,-,-,-,-
364,-,-,-,-
365,-,-,-,-
366,-,-,-,-
367,-,-,-,-
368,-,-,-,-
369,-,-,-,-
370,-,-,-,-
371,-,-,-,-
372,-,-,-,-
373,-,-,-,-
374,-,-,-,-
375,-,-,-,-
376,-,-,-,-
377,-,-,-,-
378,-,-,-,-
379,-,-,-,-
380,-,-,-,-
381,-,-,-,-
382,-,-,-,-
383,-,-,-,-
384,-,-,-,-
385,-,-,-,-
386,-,-,-,-
387,-,-,-,-
388,-,-,-,-
389,-,-,-,-
390,-,-,-,-
391,-,-,-,-
392,-,-,-,-
393,-,-,-,-
394,-,-,-,-
395,-,-,-,-
396,-,-,-,-
397,-,-,-,-
398,-,-,-,-
399,-,-,-,-
400,-,-,-,-
401,-,-,-,-
402,-,-,-,-
403,-,-,-,-
404,-,-,-,-
405,-,-,-,-
406,-,-,-,-
407,-,-,-,-
408,-,-,-,-
409,-,-,-,-
410,-,-,-,-
411,-,-,-,-
412,-,-,-,-
413,-,-,-,-
414,-,-,-,-
415,-,-,-,-
416,-,-,-,-
417,-,-,-,-
418,-,-,-,-
419,-,-,-,-
420,-,-,-,-
421,-,-,-,-
422,-,-,-,-
423,-,-,-,-
424,-,-,-,-
425,-,-,-,-
426,2.1,-,1.5,0.6
427,-,-,-,-
428,-,-,-,-
429,-,-,-,-
430,-,-,-,-
431,-,-,-,-
432,-,-,-,-
433,-,-,-,-
434,-,-,-,-
435,-,-,-,-
436,-,-,-,-
437,-,-,-,-
438,-,-,-,-
439,-,-,-,-
440,-,-,-,-
441,-,-,-,-
442,-,-,-,-
443,-,-,-,-
444,-,-,-,-
445,-,-,-,-
446,-,-,-,-
447,-,-,-,-
448,-,-,-,-
449,-,-,-,-
450,-,-,-,-
451,-,-,-,-
452,-,-,-,-
453,-,-,-,-
454,-,-,-,-
455,-,-,-,-
456,-,-,-,-
457,-,-,-,-
458,-,-,-,-
459,-,-,-,-
460,-,-,-,-
461,-,-,-,-
462,-,-,-,-
463,-,-,-,-
464,-,-,-,-
465,-,-,-,-
466,-,-,-,-
467,-,-,-,-
468,-,-,-,-
469,-,-,-,-
470,-,-,-,-
471,2,-,2,-
472,-,-,-,-
473,-,-,-,-
474,-,-,-,-
475,-,-,-,-
476,-,-,-,-
477,-,-,-,-
478,-,-,-,-
479,-,-,-,-
480,1.2,-,0.7,0.5
481,-,-,-,-
482,-,-,-,-
483,-,-,-,-
484,-,-,-,-
485,-,-,-,-
486,-,-,-,-
487,-,-,-,-
488,-,-,-,-
489,-,-,-,-
490,-,-,-,-
491,-,-,-,-
492,-,-,-,-
493,-,-,-,-
494,-,-,-,-
495,-,-,-,-
496,-,-,-,-
497,-,-,-,-
498,-,-,-,-
499,-,-,-,-
500,-,-,-,-
501,-,-,-,-
502,-,-,-,-
503,-,-,-,-
504,-,-,-,-
505,-,-,-,-
506,-,-,-,-
507,-,-,-,-
508,-,-,-,-
509,-,-,-,-
510,-,-,-,-
511,-,-,-,-
512,-,-,-,-
513,-,-,-,-
514,-,-,-,-
515,-,-,-,-
516,2.4,0.4,1.6,0.4
517,-,-,-,-
518,-,-,-,-
519,-,-,-,-
520,-,-,-,-
521,-,-,-,-
522,-,-,-,-
523,-,-,-,-
524,-,-,-,-
525,-,-,-,-
526,-,-,-,-
527,-,-,-,-
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,-,-,-,-
532,-,-,-,-
533,-,-,-,-
534,-,-,-,-
535,-,-,-,-
536,-,-,-,-
537,-,-,-,-
538,-,-,-,-
539,-,-,-,-
540,-,-,-,-
541,-,-,-,-
542,-,-,-,-
543,-,-,-,-
544,-,-,-,-
545,-,-,-,-
546,-,-,-,-
547,-,-,-,-
548,-,-,-,-
549,-,-,-,-
550,-,-,-,-
551,-,-,-,-
552,-,-,-,-
553,-,-,-,-
554,-,-,-,-
555,-,-,-,-
556,-,-,-,-
557,-,-,-,-
558,-,-,-,-
559,-,-,-,-
560,-,-,-,-
561,-,-,-,-
562,-,-,-,-
563,-,-,-,-
564,-,-,-,-
565,-,-,-,-
566,-,-,-,-
567,-,-,-,-
568,-,-,-,-
569,-,-,-,-
570,-,-,-,-
571,-,-,-,-
572,-,-,-,-
573,-,-,-,-
574,-,-,-,-
575,-,-,-,-
576,-,-,-,-
577,1.5,-,1,0.5
578,-,-,-,-
579,-,-,-,-
580,-,-,-,-
581,-,-,-,-
582,-,-,-,-
583,-,-,-,-
584,3.3,-,1.3,2
585,-,-,-,-
586,-,-,-,-
